ABAL
"D
DaKeoZ
Dao
DASL - Distributed Application Specification Language
DASL - Datapoint's Advanced Systems Language
DarkBASIC
Dart
DataFlex
Datalog
dBase
dc
DCL
Deesel (précédemment G)
Delphi
Dialect
DinkC
Dialog Manager
DIBOL
Down
Duke C
Dylan
Dynace"
"E
Ease
EASY
Easytrieve Classic
Easytrieve Plus
eC (Ecere C)
ECMAScript
eDeveloper
Edinburgh IMP
EGL
Eiffel
Einstein
Elan
elastiC
Elf
Emacs Lisp
Englesi
Epigram
Erlang
Escapade
Escher
Esterel
Etoys
Euclid
Euler
Euphoria
CMS EXEC
EXEC 2
Extends"
"F
F#
Factor
Falcon
False
Fan
Fancy
Fantom (en)
FAUST
Felix
Ferite
FFP
Fjölnir
FL
Flavors
FLOW-MATIC
Fly
FOCAL
FOCUS
FOIL
FORMAC
@Formula
Forth
Fortran
Fortress
FoxPro 2
FP
Franz Lisp
Frink
F-Script
FSProg
Funnel
Fuxi"
"Gambas
GAMS
GAP (RGP)
GAP (logiciel de calcul formel)
G-code
GDL
Gibiane
GFA BASIC
GJ
GLSL
GM
GML (Game Maker Language)
Go
Go!
GOAL
GDScript
Gödel
Godiva
Goo
GOTO++
GOTRAN
GPSS
GraphTalk
GRASS
Grammer
Green
Groovy
GW-Basic"
"Hack
HAL/S
Haskell
Haxe
High Level Assembly
HLSL
Hop
Hope
Hugo
Hume
HyperTalk"
"IBM Basic Assembly Language (BAL) (en)
IBM Informix-4GL
IBM RPG
ICI
Icon
Id
IDL (Interactive Data Language)
IL [2]
IMP
Inform
INTERCAL
Io
Ioke
IPL
IPTSCRAE
ISWIM"
"J
J#
JADE
Jako
Jackson Structured Programming
JAL
Janus
JASS
Java
JavaScript
JCL
JEAN
Join Java
JOSS
Joule
JOVIAL (en)
Joy
JSP
Julia"
"Kafe
Kaleidoscope
Karel
Karel++
Kaya
KEE
Kiev
KIF
Kite
Kogut
Korn shell (ksh)
Kotlin
KRC
KRYPTON
KUKA
L
L# .NET
LabVIEW
Ladder (LD)
Lagoona
LANSA
LARP
Lasso
Lava
Leadwerks Script
Leda
leekwars
Legoscript
Lexico
Limbo
Limnor
LINC
Lingo
Linoleum
Linotte
LIS
LISA
Lisaac
Lisp
Lithe
Little b
Logo
LOLCODE
LPC
LSE
LSL
Lua
Lucid
Lush
Lustre
LYaPAS
Lynx
LZX"
"M
M4
Maxima
MAD
Magik
Magma
Malbolge
MapBasic
Maple
MAPPER [3]
MARK-IV [4]
Mary
Microsoft Macro Assembler
Micro Lua DS
Mathematica
MATLAB
MaxScript (Autodesk 3ds Max)
Maya (MEL)
MDL
Mercury
Mesa
MetaL
MicroAlg
Microcode
MicroScript
MIIS
MillScript
MIMIC (en)
min
MisterDev
Mindscript
Miranda (en)
mIRC
Miva Script
ML
Moby
Model 204
Modula
Modula-2
Modula-3
Mondrian
MOO
Mortran
Moto
Mouse
MPD
MPP
MSIL (CIL)
MSL
MSX BASIC
MUMPS
Mythryl
N
Napier88
Natural
NBC
NEAT chipset
Neko
Nemerle
Neonitisme
NESL
NestJs
Net.Data
NetLogo
NewLISP
NEWP
NewtonScript
NGL
Nial
Nice
Nickle
Nil
Nit
NPL
NQC
Nu
NXC
NXT-G
Nyquist
o:XML
Oak
Oberon
Object Lisp
ObjectLOGO
Objective-C
Objective-J
Obliq
Obol
OCaml
occam
occam-p
OmniMark
ooc
Opa
Opal
OpenEdge ABL
OPL
OPS5
Ork
ORCA/Modula-2
Orwell
Oxygene
Oz
Panoramic
PARI/GP
Pascal - ISO 7185[5] et ISO 10206[6]
P4
Pascal Objet
Pawn
PCASTL
PCF
PEARL
Perl
Pharo
PHP
Phrogram [7]
Pico
Pict
Piet
Pike
PIKT
PILOT
Pizza
Pi-calcul
PL-11
PL/0
PL/B
PL/C
PL/I
PL/M
PL/P
PL/SQL
PL360
PLANC
Plankalkül
PLEX (en)
PLEXIL
Pliant
POP-11
Poplog
Portal
PostScript
PortablE
PowerBuilder
Powerhouse
PowerShell
PPL
Processing
Prograph
Progress 4GL
PROIV
Prolog
Promela
PROTEL
Proteus
ProvideX
Pure
PureBasic
Python"
Q
Q#
Qi
QtScript
QBasic
QML
QuakeC
QPL
R
R++
Rapira
Ratfiv
Ratfor
RBScript
rc (en)
Rebol
Red
Redcode
REFAL
Reia
Revolution
REXX
Rlab
ROOP
RPG
RPL
RSL
RTL/2
Ruby
Rust
S
S2
S3
S-Lang
SA-C
SAC
Safe C
SAIL
SALSA
SAM76
SAS
SASL
Sather
Sawzall
SBL
Scala
Scheme
Scilab
Scol
Scratch
Script.NET
Sed
Seed7
Self
SETL
Shakespeare Programming Language ou SPL
Shift Script
Signal
SiMPLE
SIMPOL
SIMSCRIPT
Simula
SISAL
Slate
SLIP
SMALL
Smalltalk
SML
SNOBOL
SPITBOL
Snap!
Snow
Snowball
SNUSP
SOL
Span
SPARK
Spice
SPIN
SP/k
SK (Skript/Minecraft)
SPS
Squeak
Squirrel
SR
SSL
STOS BASIC
Strand
Subtext
Suneido
SuperCollider
Suylo
Swift
SYMPL
SyncCharts
SystemVerilog
Sourcepawn"
"T
TACL
TACPOL
TADS
TAL
Tcl[8]
Tea
TECO
TELCOMP
CA-Telon
TenCORE
Terra
TEX (en)
TeX[9]
Ticol
TIE
Tiger
Thue
TI-Basic
TI-Extended Basic
Timber
Tom
TOM
Topspeed
TPU
Trac
Transact-SQL
TTCN
Turing
TUTOR
TXL
Turbo Pascal
TypeScript"
"Ubercode
Unicon
Uniface
uniPaaS
UNITY
unityscript
Unix shell
Unlambda
UnrealScript
USE [10]"
"V[11]
Vala
VBA
VBScript
Verilog
VHDL
Visual Adélia
Visual Basic (VB6)
Visual Basic .NET
Visual DataFlex
Visual DialogScript
Visual FoxPro
Visual Objects
Vvvv"
"Water
,WATFIV,, WATFOR (en),
WebQL
Whitespace
Winbatch
WLangage (WinDev)
Windows PowerShell"
"X#
X++
X10
XBL
xHarbour
XL
XNA
XOTcl
XPL
XPL0
XQuery
XSLT"
"Y
YaBasic
YACC
YAL
Yoix
Yorick"
"Z notation
Zeno
Zonnon
ZOPL
ZPL
ZScript
ZZT-oop"
